,price,area,price per square foot
1,1100000,1693,649.7341996
2,1108000,1705,649.8533724
3,1698000,2566,661.7303196
4,2482000,3229,768.6590276
5,1020000,1524,669.2913386
6,1100000,1693,649.7341996
7,1109000,1706,650.0586166
8,1698000,2566,661.7303196
9,2210000,3277,674.3973146
10,1020000,1523,669.7307945
11,1100000,1692,650.1182033
12,1109000,1707,649.6777973
13,1698000,2566,661.7303196
14,1098000,1689,650.0888099
15,992000,1526,650.0655308
16,1014000,1514,669.7490092
17,1100000,1692,650.1182033
18,1109000,1707,649.6777973
19,1698000,2566,661.7303196
20,1098000,1689,650.0888099
21,992000,1526,650.0655308
22,1014000,1514,669.7490092
23,1100000,1692,650.1182033
24,1109000,1707,649.6777973
25,1698000,2566,661.7303196
26,1098000,1689,650.0888099
27,992000,1526,650.0655308
28,1014000,1514,669.7490092
29,1521000,2294,663.0340017
30,1436000,2210,649.7737557
31,1230400,1860,661.5053763
32,2874300,4421,650.1470256
33,1521000,2294,663.0340017
34,1436000,2210,649.7737557
35,1712000,2588,661.5146832
36,2401000,3693,650.1489304
37,1521000,2294,663.0340017
38,1436000,2210,649.7737557
39,1712000,2588,661.5146832
40,2401000,3693,650.1489304
41,1521000,2294,663.0340017
42,1436000,2210,649.7737557
43,1239000,1873,661.505606
44,2865900,4408,650.1588022
45,1521000,2294,663.0340017
46,1436000,1900,755.7894737
47,1712000,3032,564.6437995
48,2401000,3693,650.1489304
49,1521000,2294,663.0340017
50,1436000,2210,649.7737557
51,1712000,2588,661.5146832
52,2401000,3693,650.1489304
53,1521000,2294,663.0340017
54,1436000,2210,649.7737557
55,1712000,2588,661.5146832
56,2401000,3693,650.1489304
57,1521000,2294,663.0340017
58,1436000,2210,649.7737557
59,1712000,2588,661.5146832
60,2401000,3693,650.1489304
61,1521000,2294,663.0340017
62,1436000,2210,649.7737557
63,1712000,2588,661.5146832
64,2401000,3693,650.1489304
65,1521000,2294,663.0340017
66,1436000,2210,649.7737557
67,1712000,2588,661.5146832
68,2401000,3693,650.1489304
69,1521000,2294,663.0340017
70,1436000,2210,649.7737557
71,1712000,2588,661.5146832
72,2401000,3693,650.1489304
73,2042000,2294,890.1482127
74,1928000,2209,872.7931191
75,2299000,2588,888.3307573
76,3173000,3608,879.4345898
77,2042000,2294,890.1482127
78,1928000,2209,872.7931191
79,2299000,2588,888.3307573
80,3131000,3563,878.7538591
81,2336000,2560,912.5
82,4503000,4934,912.6469396
83,2670000,2926,912.5085441
84,2083800,2294,908.36966
85,2006600,2209,908.3748302
86,2350800,2588,908.3462133
87,2985800,3287,908.3662915
88,2084300,2294,908.5876199
89,2007000,2209,908.5559077
90,2351300,2588,908.5394127
91,2986400,3287,908.5488287
92,4800000,4162,1153.291687
93,312300,697,448.0631277
94,544900,1199,454.4620517
95,855200,1978,432.3559151
96,694200,1614,430.1115242
97,1052200,2421,434.613796
98,319200,712,448.3146067
99,184300,417,441.9664269
100,312300,697,448.0631277
101,187100,423,442.3167849
102,855200,1978,432.3559151
103,236300,531,445.0094162
104,864900,2000,432.45
105,590200,1296,455.4012346
106,694200,1614,430.1115242
107,319200,712,448.3146067
108,185900,381,487.9265092
109,544900,1199,454.4620517
110,855200,1978,432.3559151
111,506300,1116,453.6738351
112,864900,2000,432.45
113,590200,1296,455.4012346
114,694200,1614,430.1115242
115,1052200,2421,434.613796
116,319200,712,448.3146067
117,312300,697,448.0631277
118,855200,1978,432.3559151
119,506300,1116,453.6738351
120,236300,531,445.0094162
121,864900,2000,432.45
122,319200,712,448.3146067
123,185900,381,487.9265092
124,187100,423,442.3167849
125,855200,1978,432.3559151
126,236300,531,445.0094162
127,864900,2000,432.45
128,590200,1296,455.4012346
129,1052200,2421,434.613796
130,185900,381,487.9265092
131,184300,417,441.9664269
132,544900,1199,454.4620517
133,506300,1116,453.6738351
134,167900,345,486.6666667
135,236300,531,445.0094162
136,864900,2000,432.45
137,1052200,2421,434.613796
138,544900,1199,454.4620517
139,187100,423,442.3167849
140,863600,1997,432.448673
141,587400,1290,455.3488372
142,339500,756,449.0740741
143,183400,376,487.7659574
144,664600,1547,429.6056884
145,181200,410,441.9512195
146,4158000,4166,998.0796928
147,4332000,4166,1039.846375
148,4332000,4166,1039.846375
149,4332000,4166,1039.846375
150,4332000,4166,1039.846375
151,4332000,4166,1039.846375
152,4551000,4166,1092.414786
153,4551000,4166,1092.414786
154,4551000,4166,1092.414786
155,4551000,4166,1092.414786
156,4551000,4166,1092.414786
157,1519000,1639,926.7846248
158,4890000,4166,1173.787806
159,4890000,4166,1173.787806
160,4890000,4166,1173.787806
161,4890000,4166,1173.787806
162,4890000,4166,1173.787806
163,5584000,4166,1340.37446
164,5584000,4166,1340.37446
165,5584000,4166,1340.37446
166,5584000,4166,1340.37446
167,1347000,1453,927.047488
168,11823000,7725,1530.485437
169,1935000,2088,926.7241379
170,1697000,1831,926.8159476
171,1935000,2088,926.7241379
172,1697000,1831,926.8159476
173,4158000,4166,998.0796928
174,4158000,4166,998.0796928
175,4158000,4166,998.0796928
176,4158000,4166,998.0796928
177,207900,401,518.4538653
178,338800,825,410.6666667
179,343200,825,416
180,254100,722,351.9390582
181,317900,892,356.3901345
182,254100,722,351.9390582
183,343200,825,416
184,343200,825,416
185,196900,515,382.3300971
186,144100,439,328.2460137
187,343200,825,416
188,317900,892,356.3901345
189,254100,722,351.9390582
190,343200,825,416
191,254100,722,351.9390582
192,196900,515,382.3300971
193,317900,892,356.3901345
194,254100,722,351.9390582
195,343200,825,416
196,207900,401,518.4538653
197,528000,1100,480
198,176000,461,381.7787419
199,207900,401,518.4538653
200,528000,1100,480
201,176000,461,381.7787419
202,250800,685,366.1313869
203,169400,398,425.6281407
204,250800,685,366.1313869
205,533500,1297,411.3338473
206,207900,401,518.4538653
207,660000,1778,371.2035996
208,250800,685,366.1313869
209,207900,401,518.4538653
210,528000,1100,480
211,250800,685,366.1313869
212,169400,398,425.6281407
213,533500,1297,411.3338473
214,176000,461,381.7787419
215,533500,1297,411.3338473
216,176000,461,381.7787419
217,250800,685,366.1313869
218,204600,536,381.7164179
219,343200,825,416
220,254100,722,351.9390582
221,174900,515,339.6116505
222,144100,439,328.2460137
223,317900,892,356.3901345
224,317900,892,356.3901345
225,195000,622,313.5048232
226,211200,401,526.6832918
227,541200,1100,492
228,245300,678,361.79941
229,258500,685,377.3722628
230,550000,1297,424.0555127
231,338800,825,410.6666667
232,338800,825,410.6666667
233,189200,415,455.9036145
234,343200,825,416
235,174900,515,339.6116505
236,216700,622,348.392283
237,254100,722,351.9390582
238,343200,825,416
239,189200,415,455.9036145
240,338800,825,410.6666667
241,532400,1240,429.3548387
242,228600,722,316.6204986
243,174900,515,339.6116505
244,317900,892,356.3901345
245,254100,722,351.9390582
246,343200,825,416
247,254100,722,351.9390582
248,174900,515,339.6116505
249,144100,439,328.2460137
250,317900,892,356.3901345
251,302500,892,339.1255605
252,216700,622,348.392283
253,189200,415,455.9036145
254,189200,415,455.9036145
255,343200,825,416
256,144100,439,328.2460137
257,317900,892,356.3901345
258,343200,825,416
259,189200,415,455.9036145
260,254100,722,351.9390582
261,343200,825,416
262,189200,415,455.9036145
263,338800,825,410.6666667
264,338800,825,410.6666667
265,144100,439,328.2460137
266,317900,892,356.3901345
267,216700,622,348.392283
268,254100,722,351.9390582
269,185900,515,360.9708738
270,144100,439,328.2460137
271,316800,892,355.1569507
