address,unit,number
130 S 18TH ST,1001,1
130 S 18TH ST,1002,2
130 S 18TH ST,1003,3
130 S 18TH ST,1004,4
130 S 18TH ST,1005,5
130 S 18TH ST,1101,6
130 S 18TH ST,1102,7
130 S 18TH ST,1103,8
130 S 18TH ST,1104,9
130 S 18TH ST,1105,10
130 S 18TH ST,1201,11
130 S 18TH ST,1202,12
130 S 18TH ST,1203,13
130 S 18TH ST,1204,14
130 S 18TH ST,1205,15
130 S 18TH ST,1206,16
130 S 18TH ST,1301,17
130 S 18TH ST,1302,18
130 S 18TH ST,1303,19
130 S 18TH ST,1304,20
130 S 18TH ST,1305,21
130 S 18TH ST,1306,22
130 S 18TH ST,1401,23
130 S 18TH ST,1402,24
130 S 18TH ST,1403,25
130 S 18TH ST,1404,26
130 S 18TH ST,1405,27
130 S 18TH ST,1406,28
130 S 18TH ST,1501,29
130 S 18TH ST,1502,30
130 S 18TH ST,1503,31
130 S 18TH ST,1504,32
130 S 18TH ST,1601,33
130 S 18TH ST,1602,34
130 S 18TH ST,1603,35
130 S 18TH ST,1604,36
130 S 18TH ST,1701,37
130 S 18TH ST,1702,38
130 S 18TH ST,1703,39
130 S 18TH ST,1704,40
130 S 18TH ST,1801,41
130 S 18TH ST,1802,42
130 S 18TH ST,1803,43
130 S 18TH ST,1804,44
130 S 18TH ST,1901,45
130 S 18TH ST,1902,46
130 S 18TH ST,1903,47
130 S 18TH ST,1904,48
130 S 18TH ST,2001,49
130 S 18TH ST,2002,50
130 S 18TH ST,2003,51
130 S 18TH ST,2004,52
130 S 18TH ST,2101,53
130 S 18TH ST,2102,54
130 S 18TH ST,2103,55
130 S 18TH ST,2104,56
130 S 18TH ST,2201,57
130 S 18TH ST,2202,58
130 S 18TH ST,2203,59
130 S 18TH ST,2204,60
130 S 18TH ST,2301,61
130 S 18TH ST,2302,62
130 S 18TH ST,2303,63
130 S 18TH ST,2304,64
130 S 18TH ST,2401,65
130 S 18TH ST,2402,66
130 S 18TH ST,2403,67
130 S 18TH ST,2404,68
130 S 18TH ST,2501,69
130 S 18TH ST,2502,70
130 S 18TH ST,2503,71
130 S 18TH ST,2504,72
130 S 18TH ST,2601,73
130 S 18TH ST,2602,74
130 S 18TH ST,2603,75
130 S 18TH ST,2604,76
130 S 18TH ST,2701,77
130 S 18TH ST,2702,78
130 S 18TH ST,2703,79
130 S 18TH ST,2704,80
130 S 18TH ST,2801,81
130 S 18TH ST,2803,82
130 S 18TH ST,2804,83
130 S 18TH ST,2901,84
130 S 18TH ST,2902,85
130 S 18TH ST,2903,86
130 S 18TH ST,2904,87
130 S 18TH ST,3001,88
130 S 18TH ST,3002,89
130 S 18TH ST,3003,90
130 S 18TH ST,3004,91
130 S 18TH ST,3302,92
1701 LOCUST ST,1401,93
1701 LOCUST ST,1402,94
1701 LOCUST ST,1404,95
1701 LOCUST ST,1412,96
1701 LOCUST ST,1414,97
1701 LOCUST ST,1415,98
1701 LOCUST ST,1417,99
1701 LOCUST ST,1501,100
1701 LOCUST ST,1503,101
1701 LOCUST ST,1504,102
1701 LOCUST ST,1507,103
1701 LOCUST ST,1509,104
1701 LOCUST ST,1510,105
1701 LOCUST ST,1512,106
1701 LOCUST ST,1515,107
1701 LOCUST ST,1516,108
1701 LOCUST ST,1602,109
1701 LOCUST ST,1604,110
1701 LOCUST ST,1605,111
1701 LOCUST ST,1609,112
1701 LOCUST ST,1610,113
1701 LOCUST ST,1612,114
1701 LOCUST ST,1614,115
1701 LOCUST ST,1615,116
1701 LOCUST ST,1701,117
1701 LOCUST ST,1704,118
1701 LOCUST ST,1705,119
1701 LOCUST ST,1707,120
1701 LOCUST ST,1709,121
1701 LOCUST ST,1715,122
1701 LOCUST ST,1716,123
1701 LOCUST ST,1803,124
1701 LOCUST ST,1804,125
1701 LOCUST ST,1807,126
1701 LOCUST ST,1809,127
1701 LOCUST ST,1810,128
1701 LOCUST ST,1814,129
1701 LOCUST ST,1816,130
1701 LOCUST ST,1817,131
1701 LOCUST ST,1902,132
1701 LOCUST ST,1905,133
1701 LOCUST ST,1906,134
1701 LOCUST ST,1907,135
1701 LOCUST ST,1909,136
1701 LOCUST ST,1914,137
1701 LOCUST ST,2002,138
1701 LOCUST ST,2003,139
1701 LOCUST ST,2009,140
1701 LOCUST ST,2010,141
1701 LOCUST ST,2012,142
1701 LOCUST ST,2016,143
1701 LOCUST ST,2112,144
1701 LOCUST ST,2117,145
1706 RITTENHOUSE SQ,1001,146
1706 RITTENHOUSE SQ,1101,147
1706 RITTENHOUSE SQ,1201,148
1706 RITTENHOUSE SQ,1301,149
1706 RITTENHOUSE SQ,1401,150
1706 RITTENHOUSE SQ,1501,151
1706 RITTENHOUSE SQ,1601,152
1706 RITTENHOUSE SQ,1701,153
1706 RITTENHOUSE SQ,1801,154
1706 RITTENHOUSE SQ,1901,155
1706 RITTENHOUSE SQ,2001,156
1706 RITTENHOUSE SQ,201,157
1706 RITTENHOUSE SQ,2101,158
1706 RITTENHOUSE SQ,2201,159
1706 RITTENHOUSE SQ,2301,160
